-47.5, 0, 100
-47.451, 1.999, 100
-47.402, 3.999, 100
-47.354, 5.998, 100
-47.305, 7.998, 100
-47.256, 9.997, 100
-47.207, 11.996, 100
-47.159, 13.996, 100
-47.11, 15.995, 100
-47.061, 17.995, 100
-47.012, 19.994, 100
-45.518, 20.689, 100
-43.534, 20.942, 100
-41.55, 21.196, 100
-39.566, 21.449, 100
-37.583, 21.702, 100
-35.599, 21.955, 100
-33.615, 22.209, 100
-31.631, 22.462, 100
-29.647, 22.715, 100
-27.663, 22.969, 100
-25.679, 23.222, 100
-23.695, 23.475, 100
-21.887, 24.306, 100
-20.098, 25.201, 100
-18.309, 26.095, 100
-16.521, 26.99, 100
-14.732, 27.884, 100
-12.943, 28.779, 100
-11.154, 29.673, 100
-9.365, 30.567, 100
-7.576, 31.462, 100
-5.787, 32.356, 100
-3.999, 33.251, 100
-2.21, 34.145, 100
-0.421, 35.04, 100
1.368, 35.934, 100
3.157, 36.828, 100
4.946, 37.723, 100
6.734, 38.617, 100
8.523, 39.512, 100
10.312, 40.406, 100
12.101, 41.301, 100
13.89, 42.195, 100
15.679, 43.089, 100
17.468, 43.984, 100
19.256, 44.878, 100
21.045, 45.773, 100
22.834, 46.667, 100
22.345, 47.492, 100
20.504, 48.275, 100
18.664, 49.058, 100
16.824, 49.841, 100
14.983, 50.624, 100
13.143, 51.407, 100
11.303, 52.19, 100
9.462, 52.973, 100
7.622, 53.757, 100
5.782, 54.54, 100
3.942, 55.323, 100
2.101, 56.106, 100
0.261, 56.889, 100
0, 55.284, 100
0, 53.284, 100
0, 51.284, 100
0, 49.284, 100
0, 47.284, 100
-1.716, 47, 100
-3.716, 47, 100
-5.716, 47, 100
-7.716, 47, 100
-9.716, 47, 100
-11.716, 47, 100
-13.716, 47, 100
-15.716, 47, 100
-17.716, 47, 100
-19.716, 47, 100
-21.716, 47, 100
-23.716, 47, 100
-25.716, 47, 100
-27.716, 47, 100
-29.716, 47, 100
-31.716, 47, 100
-33.716, 47, 100
-35.716, 47, 100
-37.716, 47, 100
-39.716, 47, 100
-41.716, 47, 100
-43.716, 47, 100
-45.716, 47, 100
-47.716, 47, 100
-49.716, 47, 100
-51.716, 47, 100
-53.716, 47, 100
-55.716, 47, 100
-57.716, 47, 100
-58.493, 47.507, 100
-57.079, 48.921, 100
-55.665, 50.335, 100
-54.251, 51.749, 100
-52.837, 53.163, 100
-51.422, 54.578, 100
-50.008, 55.992, 100
-48.594, 57.406, 100
-47.18, 58.82, 100
-48.731, 59.231, 100
-50.713, 59.495, 100
-52.695, 59.759, 100
-54.678, 60.024, 100
-56.66, 60.288, 100
-58.643, 60.552, 100
-60.625, 60.817, 100
-61.424, 60.79, 100
-59.544, 60.107, 98.7
-57.665, 59.424, 96.092
-55.785, 58.74, 93.412
-53.905, 58.057, 90.652
-52.026, 57.373, 87.805
-50.146, 56.69, 84.863
-48.267, 56.006, 81.815
-46.387, 55.323, 78.65
-44.508, 54.639, 75.351
-42.628, 53.956, 71.901
-40.748, 53.272, 68.277
-38.869, 52.589, 64.45
-36.989, 51.905, 60.38
-35.11, 51.222, 56.016
-33.23, 50.538, 51.281
-31.35, 49.855, 46.062
-29.471, 49.171, 40.172
-27.591, 48.488, 33.253
-25.712, 47.804, 24.449
-23.5, 47, 0
-23.5, 47, 0
-4.704, 40.165, 0
endData
127
100
200
-47.5, 0, -47.25, 10.25, -47.25, 10.25, -47, 20.5
-47, 20.5, -35.25, 22, -35.25, 22, -23.5, 23.5
-23.5, 23.5, 0, 35.25, 0, 35.25, 23.5, 47
23.5, 47, 11.75, 52, 11.75, 52, 0, 57
0, 57, 0, 52, 0, 52, 0, 47
0, 47, -29.5, 47, -29.5, 47, -59, 47
-59, 47, -53, 53, -53, 53, -47, 59
-47, 59, -54.5, 60, -54.5, 60, -62, 61
-62, 61, -42.75, 54, -42.75, 54, -23.5, 47
